Spanish,English
hablar,to speak
yo hablo,I speak
tú hablas,You (informal) speak
él/ella/usted habla,He/She speaks / You (formal) speak
nosotros/nosotras hablamos,We speak
vosotros/vosotras habla,You-all (informal) speak
ellos/ellas/ustedes hablan, They / You-all speak
comer,to eat
yo como,I eat
tú comes,You (informal) eat
él/ella/usted come,He/She eats / You (formal) eat
nosotros/nosotras comemos,We eat
vosotros/vosotras coméis,You-all (informal) eat
ellos/ellas/ustedes comen, They / You-all eat
vivir,to live
yo vivo,I live
tú vives,You (informal) live
él/ella/usted vive,He/She lives / You (formal) live
nosotros/nosotras vivimos,We live
vosotros/vosotras vivis,You-all (informal) live
ellos/ellas/ustedes viven, They / You-all live

